"PeriodTypes","per week",\N,"per week",\N,127,1,\N,"Week"
"PeriodTypes","per wk","per week","per wk",\N,127,1,\N,"Week"
"PeriodTypes","per wk.","per week","per wk",\N,127,1,\N,"Week"
"PeriodTypes","wkly","per week","wkly",\N,127,1,\N,"Week"
"PeriodTypes","weekly","per week","weekly",\N,127,1,\N,"Week"
"PeriodTypes","/wk","per week","/wk",\N,127,1,\N,"Week"
"PeriodTypes","per month",\N,"per month",\N,127,1,\N,"Month"
"PeriodTypes","per mnth","per month","per mnth",\N,127,1,\N,"Month"
"PeriodTypes","per mnth.","per month","per mnth",\N,127,1,\N,"Month"
"PeriodTypes","monthly","per month","monthy",\N,127,1,\N,"Month"
"PeriodTypes","mnth","per month","mnth",\N,127,1,\N,"Month"
